-4.0,4.0
[-3.67852375],[4.52936143]
[-3.6780269],[4.53022803]
[-3.67753011],[4.53109467]
[-3.6770334],[4.53196134]
[-3.67653676],[4.53282806]
[-3.67604019],[4.53369481]
[-3.67554369],[4.53456161]
[-3.67504727],[4.53542844]
[-3.67455091],[4.53629532]
[-3.67405463],[4.53716223]
[-3.67355841],[4.53802918]
[-3.67306227],[4.53889618]
[-3.6725662],[4.53976321]
[-3.6720702],[4.54063028]
[-3.67157427],[4.5414974]
[-3.67107841],[4.54236455]
[-3.67058262],[4.54323174]
[-3.67008691],[4.54409897]
[-3.66959126],[4.54496625]
[-3.66909569],[4.54583356]
[-3.66860019],[4.54670091]
[-3.66810476],[4.5475683]
[-3.6676094],[4.54843573]
[-3.66711411],[4.5493032]
[-3.66661889],[4.55017071]
[-3.66612374],[4.55103826]
[-3.66562867],[4.55190585]
[-3.66513367],[4.55277348]
[-3.66463873],[4.55364115]
[-3.66414387],[4.55450886]
[-3.66364908],[4.5553766]
[-3.66315436],[4.55624439]
[-3.66265972],[4.55711222]
[-3.66216514],[4.55798009]
[-3.66167064],[4.55884799]
[-3.6611762],[4.55971594]
[-3.66068184],[4.56058392]
[-3.66018755],[4.56145195]
[-3.65969333],[4.56232001]
[-3.65919918],[4.56318812]
[-3.65870511],[4.56405626]
[-3.6582111],[4.56492444]
[-3.65771717],[4.56579267]
[-3.6572233],[4.56666093]
[-3.65672951],[4.56752923]
[-3.65623579],[4.56839757]
[-3.65574215],[4.56926595]
[-3.65524857],[4.57013437]
[-3.65475506],[4.57100283]
[-3.65426163],[4.57187133]
[-3.65376827],[4.57273987]
[-3.65327498],[4.57360845]
[-3.65278176],[4.57447707]
[-3.65228861],[4.57534573]
[-3.65179553],[4.57621442]
[-3.65130253],[4.57708316]
[-3.6508096],[4.57795193]
[-3.65031673],[4.57882075]
[-3.64982394],[4.5796896]
[-3.64933123],[4.5805585]
[-3.64883858],[4.58142743]
[-3.648346],[4.5822964]
[-3.6478535],[4.58316541]
[-3.64736107],[4.58403447]
[-3.64686871],[4.58490356]
[-3.64637642],[4.58577269]
[-3.6458842],[4.58664186]
[-3.64539206],[4.58751106]
[-3.64489998],[4.58838031]
[-3.64440798],[4.5892496]
[-3.64391605],[4.59011893]
[-3.64342419],[4.59098829]
[-3.6429324],[4.5918577]
[-3.64244069],[4.59272714]
[-3.64194904],[4.59359663]
[-3.64145747],[4.59446615]
[-3.64096597],[4.59533571]
[-3.64047454],[4.59620531]
[-3.63998319],[4.59707495]
[-3.6394919],[4.59794463]
[-3.63900069],[4.59881435]
[-3.63850955],[4.59968411]
[-3.63801848],[4.60055391]
[-3.63752748],[4.60142375]
[-3.63703656],[4.60229362]
[-3.6365457],[4.60316354]
[-3.63605492],[4.60403349]
[-3.63556421],[4.60490349]
[-3.63507357],[4.60577352]
[-3.634583],[4.60664359]
[-3.63409251],[4.6075137]
[-3.63360209],[4.60838385]
[-3.63311174],[4.60925404]
[-3.63262146],[4.61012427]
[-3.63213125],[4.61099454]
[-3.63164112],[4.61186485]
[-3.63115106],[4.61273519]
[-3.63066106],[4.61360558]
[-3.63017115],[4.614476]
[-3.6296813],[4.61534647]
[-3.62919153],[4.61621697]
[-3.62870182],[4.61708751]
[-3.62821219],[4.61795809]
[-3.62772263],[4.61882871]
[-3.62723315],[4.61969937]
[-3.62674373],[4.62057007]
[-3.62625439],[4.6214408]
[-3.62576512],[4.62231158]
[-3.62527592],[4.62318239]
[-3.6247868],[4.62405325]
[-3.62429775],[4.62492414]
[-3.62380876],[4.62579507]
[-3.62331985],[4.62666604]
[-3.62283102],[4.62753705]
[-3.62234225],[4.6284081]
[-3.62185356],[4.62927919]
[-3.62136494],[4.63015031]
[-3.62087639],[4.63102148]
[-3.62038792],[4.63189268]
[-3.61989951],[4.63276392]
[-3.61941118],[4.63363521]
[-3.61892292],[4.63450653]
[-3.61843474],[4.63537789]
[-3.61794662],[4.63624928]
[-3.61745858],[4.63712072]
[-3.61697061],[4.6379922]
[-3.61648271],[4.63886371]
[-3.61599489],[4.63973527]
[-3.61550714],[4.64060686]
[-3.61501946],[4.64147849]
[-3.61453185],[4.64235016]
[-3.61404432],[4.64322187]
[-3.61355685],[4.64409362]
[-3.61306946],[4.64496541]
[-3.61258215],[4.64583723]
[-3.6120949],[4.6467091]
[-3.61160773],[4.647581]
[-3.61112063],[4.64845294]
[-3.6106336],[4.64932492]
[-3.61014665],[4.65019694]
[-3.60965976],[4.651069]
[-3.60917295],[4.65194109]
[-3.60868622],[4.65281323]
[-3.60819955],[4.6536854]
[-3.60771296],[4.65455762]
[-3.60722644],[4.65542987]
[-3.60673999],[4.65630216]
[-3.60625362],[4.65717449]
[-3.60576732],[4.65804685]
[-3.60528109],[4.65891926]
[-3.60479493],[4.6597917]
[-3.60430885],[4.66066419]
[-3.60382284],[4.66153671]
[-3.6033369],[4.66240927]
[-3.60285104],[4.66328187]
[-3.60236525],[4.66415451]
[-3.60187953],[4.66502718]
[-3.60139388],[4.6658999]
[-3.60090831],[4.66677265]
[-3.60042281],[4.66764544]
[-3.59993738],[4.66851827]
[-3.59945202],[4.66939114]
[-3.59896674],[4.67026405]
[-3.59848153],[4.671137]
[-3.59799639],[4.67200998]
[-3.59751133],[4.672883]
[-3.59702634],[4.67375606]
[-3.59654142],[4.67462916]
[-3.59605658],[4.6755023]
[-3.59557181],[4.67637548]
[-3.59508711],[4.67724869]
[-3.59460248],[4.67812195]
[-3.59411793],[4.67899524]
[-3.59363345],[4.67986857]
[-3.59314905],[4.68074194]
[-3.59266471],[4.68161535]
[-3.59218045],[4.68248879]
[-3.59169627],[4.68336228]
[-3.59121215],[4.6842358]
[-3.59072811],[4.68510936]
[-3.59024414],[4.68598296]
[-3.58976025],[4.6868566]
[-3.58927643],[4.68773027]
[-3.58879268],[4.68860399]
[-3.58830901],[4.68947774]
[-3.58782541],[4.69035153]
[-3.58734188],[4.69122536]
[-3.58685842],[4.69209922]
[-3.58637504],[4.69297313]
[-3.58589173],[4.69384707]
[-3.5854085],[4.69472106]
[-3.58492534],[4.69559508]
[-3.58444225],[4.69646913]
[-3.58395924],[4.69734323]
[-3.5834763],[4.69821737]
[-3.58299343],[4.69909154]
[-3.58251063],[4.69996575]
[-3.58202791],[4.70084]
[-3.58154527],[4.70171429]
[-3.58106269],[4.70258861]
[-3.58058019],[4.70346298]
[-3.58009777],[4.70433738]
[-3.57961541],[4.70521182]
[-3.57913313],[4.7060863]
[-3.57865093],[4.70696081]
[-3.5781688],[4.70783537]
[-3.57768674],[4.70870996]
[-3.57720475],[4.70958459]
[-3.57672284],[4.71045926]
[-3.57624101],[4.71133397]
[-3.57575924],[4.71220871]
[-3.57527755],[4.71308349]
[-3.57479594],[4.71395831]
[-3.57431439],[4.71483317]
[-3.57383292],[4.71570807]
[-3.57335153],[4.716583]
[-3.57287021],[4.71745798]
[-3.57238896],[4.71833299]
[-3.57190779],[4.71920804]
[-3.57142669],[4.72008312]
[-3.57094566],[4.72095825]
[-3.57046471],[4.72183341]
[-3.56998384],[4.72270861]
[-3.56950303],[4.72358385]
